Name0,Image0,Image1,Name1,Image2,Name2,Image3
Abdullah_Gul,13,14,AJ_Lamas,1,Zach_Safrin,1
Abdullah_Gul,13,16,Aaron_Guiel,1,Reese_Witherspoon,3
Abdullatif_Sener,1,2,Aaron_Tippin,1,Jose_Luis_Rodriguez_Zapatero,1
Adel_Al-Jubeir,1,3,Abdul_Majeed_Shobokshi,1,Charles_Cope,1
Al_Pacino,1,2,Abdullah_Gul,16,Steve_Cox,1
Alan_Greenspan,1,5,Abid_Hamid_Mahmud_Al-Tikriti,1,Eli_Broad,1
Albert_Costa,2,6,Adam_Kennedy,1,Amelie_Mauresmo,19
Albert_Costa,4,6,Adel_Al-Jubeir,1,Elisabeth_Welch,1
Albert_Costa,5,6,Adrian_Murrell,1,Tommy_Franks,15
Alejandro_Atchugarry,1,2,Adriana_Lima,1,Terrence_Trammell,1
Alex_Penelas,1,2,Adriana_Perez_Navarro,1,Jennifer_Capriati,8
Ali_Naimi,1,3,Agbani_Darego,1,Malik_Mahmud,1
Ali_Naimi,3,4,Ahmed_Ghazi,1,Henry_Suazo,1
Allison_Janney,1,2,Aileen_Riggin_Soule,1,Damarius_Bilbo,1
Allyson_Felix,2,5,Ain_Seppik,1,Donald_Regan,1
Alvaro_Uribe,7,10,Aitor_Gonzalez,1,Lily_Tomlin,2
Alvaro_Uribe,17,26,Al_Cardenas,1,Mary_Landrieu,3
Alvaro_Uribe,28,29,Al_Davis,2,Dennis_Powell,1
Amanda_Bynes,1,2,Al_Pacino,1,Izzat_Ibrahim,1
Amanda_Bynes,1,3,Aleksander_Voloshin,1,Ashlea_Talbot,1
Amanda_Bynes,1,4,Alex_Cabrera,1,Richard_Carl,1
Amanda_Bynes,3,4,Alex_Corretja,1,Newt_Gingrich,1
Amelie_Mauresmo,1,21,Alex_Corretja,1,Tippi_Hedren,2
Amelie_Mauresmo,4,11,Alexandra_Rozovskaya,1,Don_King,1
Amelie_Mauresmo,16,21,Ali_Fallahian,1,Mohammed_Abulhasan,1
Ana_Palacio,1,6,Ali_Naimi,8,Vanessa_Laine,1
Andrei_Mikhnevich,1,2,Alicia_Keys,1,Giannina_Facio,1
Andy_Hebb,1,2,Alicia_Molik,1,Lena_Katina,1
Angelo_Reyes,1,2,Aline_Chretien,1,Carlos_Iturgaitz,1
Angelo_Reyes,2,3,Alisha_Richman,1,Spencer_Abraham,9
Ann_Veneman,1,2,Allison_Searing,1,Amy_Gale,1
Ann_Veneman,5,11,Allison_Searing,1,Mark_Martin,1
Ann_Veneman,8,9,Allison_Searing,1,Phillip_Fulmer,1
Anna_Nicole_Smith,1,2,Allison_Searing,1,Warren_Beatty,1
Anne_Krueger,1,2,Amanda_Marsh,1,Howard_Smith,2
Anne_Krueger,2,3,Amanda_Marsh,1,Svetlana_Koroleva,2
Annette_Lu,1,2,Amelie_Mauresmo,6,Terri_Clark,1
