Name0,Image0,Image1,Name1,Image2,Name2,Image3
Aaron_Peirsol,1,2,AJ_Cook,1,Marsha_Thomason,1
Aaron_Peirsol,3,4,Aaron_Sorkin,2,Frank_Solich,5
Aaron_Sorkin,1,2,Abdel_Nasser_Assidi,2,Hilary_McKay,1
Abdel_Nasser_Assidi,1,2,Abdoulaye_Wade,4,Linda_Dano,1
Abdullah,1,3,Abdul_Rahman,1,Magui_Serna,1
Abdullah,2,4,Abdullah,1,Dwain_Kyles,1
Abdullah_al-Attiyah,1,3,Abdullah_Nasseef,1,Hipolito_Mejia,3
Abdullah_al-Attiyah,2,3,Abel_Pacheco,1,Matt_Roney,1
Abel_Pacheco,1,4,Abel_Pacheco,4,Lucio_Stanca,1
Abel_Pacheco,3,4,Abner_Martinez,1,Aidan_Quinn,1
Adam_Sandler,1,3,Abner_Martinez,1,Andre_Techine,1
Adam_Sandler,1,4,Aby_Har-Even,1,Ricardo_Lopez_Murphy,2
Adam_Sandler,2,4,Adisai_Bodharamik,1,Jesper_Parnevik,1
Adam_Scott,1,2,Adisai_Bodharamik,1,Mel_Brooks,2
Adolfo_Aguilar_Zinser,1,3,Adolfo_Aguilar_Zinser,2,Ian_Wilmut,1
Ahmed_Chalabi,2,4,Adolfo_Aguilar_Zinser,3,Soon_Yi,1
Ai_Sugiyama,2,4,Adolfo_Rodriguez_Saa,1,Catherine_Deneuve,2
Aicha_El_Ouafi,1,3,Adrian_Nastase,2,Ham_Pong-sil,1
Aicha_El_Ouafi,2,3,Afton_Smith,1,Marcos_Cafu,1
Akbar_Hashemi_Rafsanjani,1,3,Afton_Smith,1,Mario_Lobo_Zagallo,1
Akhmed_Zakayev,1,3,Ahmed_Ahmed,1,David_Canary,1
Akhmed_Zakayev,2,3,Ahmed_Chalabi,1,Gian_Marco,3
Al_Gore,1,3,Ahmed_Ibrahim_Bilal,1,Audrey_Lacroix,1
Alan_Ball,1,2,Ahmed_Ibrahim_Bilal,1,Eric_Christian_Olsen,1
Alberto_Fujimori,1,2,Ahmed_Ibrahim_Bilal,1,Paul_Wilson,1
Alberto_Ruiz_Gallardon,1,2,Ahmed_Ibrahim_Bilal,1,Rolf_Zimmermann,1
Albrecht_Mentz,1,2,Ahmed_Lopez,1,Ray_Morrough,1
Alec_Baldwin,1,2,Ahmet_Demir,1,Karen_Lynn_Gorney,1
