Name0,Image0,Image1,Name1,Image2,Name2,Image3
Abel_Pacheco,1,4,Abdel_Madi_Shabneh,1,Dean_Barker,1
Akhmed_Zakayev,1,3,Abdel_Madi_Shabneh,1,Giancarlo_Fisichella,1
Akhmed_Zakayev,2,3,Abdel_Madi_Shabneh,1,Mikhail_Gorbachev,1
Amber_Tamblyn,1,2,Abdul_Rahman,1,Portia_de_Rossi,1
Anders_Fogh_Rasmussen,1,3,Abel_Pacheco,1,Jong_Thae_Hwa,2
Anders_Fogh_Rasmussen,1,4,Abel_Pacheco,2,Jean-Francois_Lemounier,1
Angela_Bassett,1,5,Afton_Smith,1,Dwayne_Wade,1
Angela_Bassett,2,5,Ahmad_Jbarah,1,James_Comey,1
Angela_Bassett,3,4,Akhmed_Zakayev,2,Donna_Morrissey,1
Ann_Veneman,3,5,Alan_Dershowitz,1,Bertrand_Bonello,1
Ann_Veneman,6,10,Alanis_Morissette,1,Martin_Cauchon,1
Ann_Veneman,10,11,Alexander_Lukashenko,1,Heather_Chinnock,1
Anthony_Fauci,1,2,Alfonso_Cuaron,1,Jason_Priestley,1
Antony_Leung,1,2,Alfonso_Cuaron,1,Patty_Schnyder,2
Antony_Leung,2,3,Alfonso_Soriano,1,Bill_Nelson,2
Anwar_Ibrahim,1,2,Alfonso_Soriano,1,Julio_De_Brun,1
Augusto_Pinochet,1,2,Alfonso_Soriano,1,Patty_Schnyder,3
Barbara_Brezigar,1,2,Alonzo_Mourning,1,Cecilia_Cheung,1
Benjamin_Netanyahu,1,4,Amber_Tamblyn,2,Benjamin_Netanyahu,1
Benjamin_Netanyahu,4,5,Amporn_Falise,1,Joe_Pantoliano,1
Bernard_Law,2,3,Anders_Fogh_Rasmussen,2,Johnson_Panjaitan,2
Bernard_Law,3,4,Andre_Bucher,1,Joseph_Ralston,1
Bertrand_Bonello,1,2,Andre_Bucher,1,Maria_Garcia,1
Bill_Frist,2,9,Andrew_Gilligan,1,Henry_Castellanos,1
Bill_Frist,4,5,Andrew_Shutley,1,Edmund_Stoiber,5
Bob_Graham,2,4,Andrew_Shutley,1,Mitchell_Swartz,1
Bob_Graham,3,6,Andrew_Shutley,1,Saeb_Erekat,2
Bob_Graham,4,6,Andy_Dick,1,Simon_Yam,1
Bob_Graham,5,6,Andy_Griffith,1,Osrat_Iosef,1
Boris_Becker,2,6,Andy_Wisecarver,1,Dimitar_Berbatov,1
Brad_Johnson,1,3,Angela_Lansbury,1,Steven_Van_Zandt,1
Brad_Johnson,2,3,Angela_Lansbury,2,John_Coomber,1
Brad_Johnson,2,4,Ann_Veneman,6,Sergio_Garcia,2
Brian_Griese,1,2,Ann_Veneman,8,Ted_Williams,1
Candice_Bergen,1,2,Annie-Jeanne_Reynaud,1,SJ_Twu,1
Candice_Bergen,2,3,Anthony_Carter,1,Eliza_Dushku,1
Carla_Myers,1,2,Antonio_Cassano,1,Paul_Celluci,1
Cathy_Freeman,1,2,Anwar_Ibrahim,1,David_Alpay,1
Chang_Dae-whan,1,2,Armand_Sargen,1,Daryl_Sabara,1
Charles_Grassley,1,2,Armand_Sargen,1,Kelvin_Sampson,3
Clare_Short,1,3,Armand_Sargen,1,Lisa_Gottsegen,2
Clare_Short,1,4,Atom_Egoyan,1,Bill_Stapleton,1
Corinne_Coman,1,2,Atom_Egoyan,1,Janis_Ruth_Coulter,1
Dai_Bachtiar,1,2,Barbara_Brezigar,2,Doris_Roberts,2
Dale_Earnhardt_Jr,1,3,Barbara_Felt-Miller,1,Leticia_Dolera,1
David_Caruso,1,2,Bart_Freundlich,1,Ernie_Grunfeld,1
Demi_Moore,1,3,Bart_Freundlich,1,Kirsten_Gilham,1
Dick_Vermeil,1,2,Benjamin_Martinez,1,Garry_McCoy,1
Doris_Roberts,1,2,Benjamin_Netanyahu,1,Maria_Callas,1
Doris_Roberts,1,3,Benjamin_Netanyahu,5,Frank_Beamer,1
Drew_Barrymore,1,2,Bernard_Law,1,Liu_Xiaoqing,1
Edmund_Stoiber,4,7,Bernard_Law,3,Valerie_Harper,2
Edmund_Stoiber,5,7,Bertrand_Bonello,1,Jong_Thae_Hwa,2
Edmund_Stoiber,7,12,Bill_Bradley,1,Chen_Tsai-chin,1
Edmund_Stoiber,9,11,Bill_Bradley,1,Helen_Alvare,1
